	Row Index	ADF Statistic	p-value	Critical Value (1%)	Critical Value (5%)	Critical Value (10%)	Stationarity
261	cg23045908	-3.1138027884003696	0.025548440414719206	-3.5097356063504983	-2.8961947486260944	-2.5852576124567475	Stationary
264	cg23124451	-3.9470797185006425	0.001714428670889824	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
265	cg23357533	-4.312662601548203	0.00042231073321138637	-3.517113604831504	-2.8993754262546574	-2.5869547797501644	Stationary
277	cg23754392	-4.980478328821739	2.4254538059323928e-05	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
281	cg24046474	-4.045677937905704	0.0011893369405085751	-3.5087828609430614	-2.895783561573195	-2.5850381719848565	Stationary
287	cg24838825	-4.1770537955601785	0.0007203737555582725	-3.5194805351545413	-2.9003945086747343	-2.5874984279778395	Stationary
308	cg26933021	-2.9396169729296213	0.04093124414153161	-3.520713130074074	-2.9009249540740742	-2.5877813777777776	Stationary
310	cg26986871	-3.988446506543806	0.0014722317796016368	-3.5097356063504983	-2.8961947486260944	-2.5852576124567475	Stationary
313	cg27187881	-2.950156521493563	0.039818663981617285	-3.5137900174243235	-2.8979433868293945	-2.5861907285474777	Stationary
314	cg27544190	-4.543000196862317	0.00016429945054739387	-3.5137900174243235	-2.8979433868293945	-2.5861907285474777	Stationary
